                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.46089,                0.64259,                 2.2781,                 1.0007,                0.36128,                0.81127,                0.53174,                0.41866,                 0.3591,                0.80556,                0.52721,                0.45061,                 0.6565,                 0.6852,                 4.2788,                 1.1473,             0.00036882,             0.00036882,             0.00036882
                      2,                0.65071,                0.81128,                 1.7724,                 1.1055,                0.58837,                0.39852,                0.50396,                 0.3104,                0.59439,                0.40891,                0.50369,                0.37176,                0.87647,                 1.1954,                 11.432,                 1.3143,             0.00072452,             0.00072452,             0.00072452
                      3,                0.74494,                 0.8492,                 1.7511,                 1.1512,                0.33026,                0.66641,                0.53006,                0.39401,                0.33026,                0.66641,                0.53395,                0.46651,                0.86516,                 1.3009,                 2.9217,                 1.3435,              0.0010656,              0.0010656,              0.0010656
                      4,                0.74416,                0.90644,                  1.808,                 1.1497,                0.62688,                0.61275,                0.61704,                0.52497,                 0.6189,                0.60322,                 0.5955,                0.50111,                0.69044,                 1.1296,                   2.03,                 1.1732,               0.001045,               0.001045,               0.001045
                      5,                0.70723,                0.82642,                 1.6467,                 1.1177,                0.60679,                 0.6895,                0.76068,                0.63869,                0.60679,                 0.6895,                0.76031,                 0.6439,                0.68422,                 1.1103,                 1.4273,                 1.1033,               0.001045,               0.001045,               0.001045
                      6,                0.67647,                0.71602,                 1.5275,                 1.1073,                0.71029,                0.61994,                0.73971,                0.66426,                0.71029,                0.61994,                0.73777,                0.66495,                0.57841,                0.89331,                 1.2882,                 1.0712,               0.001023,               0.001023,               0.001023
                      7,                0.62972,                0.72188,                 1.5113,                 1.0728,                0.87957,                0.52894,                0.70693,                0.62947,                0.87968,                0.52844,                0.70929,                0.62081,                0.52437,                 0.9796,                 1.3447,                  1.019,               0.001001,               0.001001,               0.001001
                      8,                0.57589,                 0.6335,                 1.3541,                 1.0548,                0.58966,                0.73006,                0.78691,                0.71683,                0.58966,                0.73006,                0.78691,                0.75262,                0.46442,                0.36555,                   1.08,                0.96855,             0.00097901,             0.00097901,             0.00097901
                      9,                0.53897,                0.64666,                 1.3619,                 1.0228,                0.62692,                0.83454,                0.82947,                0.76202,                 0.6218,                0.84992,                0.83278,                0.77074,                0.48566,                0.63704,                 1.1156,                0.97857,             0.00095702,             0.00095702,             0.00095702
                     10,                0.54256,                0.69222,                 1.3534,                   1.04,                 0.6787,                0.84689,                 0.8967,                0.84037,                 0.6787,                0.84689,                 0.8967,                0.87484,                0.39194,                0.30374,                 1.0025,                0.88717,             0.00093502,             0.00093502,             0.00093502
                     11,                0.50244,                0.54855,                  1.279,                 1.0066,                  0.923,                0.69978,                0.86303,                0.82104,                  0.923,                0.69978,                0.86168,                0.82725,                0.47117,                0.41666,                0.88491,                0.96679,             0.00091302,             0.00091302,             0.00091302
                     12,                0.51474,                0.57371,                 1.2538,                 1.0179,                0.84732,                 0.7671,                0.90839,                0.85681,                0.84732,                 0.7671,                0.90835,                0.87905,                0.43886,                0.37087,                 1.0587,                0.95665,             0.00089102,             0.00089102,             0.00089102
                     13,                0.46577,                0.53914,                  1.206,                0.99093,                0.84217,                0.94403,                0.95844,                0.89049,                0.84217,                0.94403,                0.95844,                0.94026,                0.39696,                0.30402,                0.74319,                0.86889,             0.00086902,             0.00086902,             0.00086902
                     14,                0.46429,                0.48767,                 1.2051,                0.99601,                0.82765,                0.73348,                0.84606,                0.80309,                0.82765,                0.73348,                0.84407,                0.81789,                0.40602,                0.41824,                0.94067,                0.89384,             0.00084703,             0.00084703,             0.00084703
                     15,                0.49158,                0.54816,                 1.2557,                 1.0067,                0.84718,                0.87825,                0.94184,                0.89195,                0.84718,                0.87825,                0.94184,                0.90945,                0.35484,                0.41299,                0.80686,                0.84937,             0.00082503,             0.00082503,             0.00082503
                     16,                0.45097,                0.50737,                 1.1706,                0.96842,                0.78495,                0.92034,                0.93524,                0.89042,                0.78495,                0.92034,                0.93524,                0.90997,                0.35589,                0.34919,                0.68544,                 0.8577,             0.00080303,             0.00080303,             0.00080303
                     17,                0.48713,                 0.4805,                 1.2432,                0.98937,                0.73624,                0.90048,                0.92967,                0.87752,                0.73624,                0.90048,                0.92967,                0.90878,                0.39102,                0.24071,                0.74896,                0.88217,             0.00078103,             0.00078103,             0.00078103
                     18,                0.47287,                0.48648,                 1.1606,                0.98981,                0.83573,                0.93263,                0.95937,                0.90841,                0.83573,                0.93263,                0.95644,                0.93751,                 0.3555,                0.38875,                0.65395,                0.85064,             0.00075904,             0.00075904,             0.00075904
                     19,                0.45271,                0.46707,                 1.0571,                 0.9879,                0.84966,                0.94438,                0.96493,                0.91925,                0.84966,                0.94438,                0.96493,                 0.9474,                0.31405,                0.22724,                0.56965,                0.82615,             0.00073704,             0.00073704,             0.00073704
                     20,                0.45846,                0.44378,                 1.1072,                0.96723,                 0.9113,                0.84984,                0.95618,                0.88478,                 0.9113,                0.84984,                0.95618,                0.93155,                0.36937,                0.24301,                0.72441,                  0.873,             0.00071504,             0.00071504,             0.00071504
                     21,                 0.4235,                0.39717,                 1.0756,                0.95722,                0.87536,                0.91485,                0.94851,                0.91641,                0.87536,                0.91485,                0.94851,                0.92598,                0.32052,                0.27674,                0.64639,                0.82577,             0.00069304,             0.00069304,             0.00069304
